link,num_page,status
https://bitcoin.stackexchange.com/questions?tab=newest&pagesize=50,610,done
https://ethereum.stackexchange.com/questions?tab=newest&pagesize=50,1051,
https://quant.stackexchange.com/questions?tab=newest&pagesize=50,434,
https://money.stackexchange.com/questions?tab=newest&pagesize=50,767,
https://tezos.stackexchange.com/questions?tab=newest&pagesize=50,44,
https://cardano.stackexchange.com/questions?tab=newest&pagesize=50,55,
https://substrate.stackexchange.com/questions?tab=newest&pagesize=50,92,
https://monero.stackexchange.com/questions?tab=newest&pagesize=50,89,
https://iota.stackexchange.com/questions?tab=newest&pagesize=50,22
https://economics.stackexchange.com/questions?tab=newest&pagesize=50,310,
https://serverfault.com/questions?tab=newest&pagesize=50,6745,
https://meta.stackexchange.com/questions?tab=newest&pagesize=50,1989,
https://superuser.com/questions?tab=newest&pagesize=50, 10018,
https://webapps.stackexchange.com/questions?tab=newest&pagesize=50, 675,
https://webmasters.stackexchange.com/questions?tab=newest&pagesize=50, 761,
https://gamedev.stackexchange.com/questions?tab=newest&pagesize=50, 1125,
https://gis.stackexchange.com/questions?tab=newest&pagesize=50, 3233,
https://askubuntu.com/questions?tab=newest&pagesize=50, 8246,
https://unix.stackexchange.com/questions?tab=newest&pagesize=50, 4717,
https://dba.stackexchange.com/questions?tab=newest&pagesize=50, 2037,
https://dsp.stackexchange.com/questions?tab=newest&pagesize=50, 543,
